"Категория";"URL категории";"Товар";"Вариант";"Описание";"Цена";"URL";"Изображение";"Артикул";"Количество";"Активность";"Заголовок [SEO]";"Ключевые слова [SEO]";"Описание [SEO]";"Старая цена";"Рекомендуемый";"Новый";"Сортировка";"Вес";"Связанные артикулы";"Смежные категории";"Ссылка на товар";"Валюта";"Свойства";"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка  DEF 5026 AB";;;"177.00";;"1039580408_bronenakladka-class-def.jpg[:param:][alt=CLASS Броненакладка  DEF 5026 AB][title=CLASS Броненакладка  DEF 5026 AB]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка  DEF 5026 CR";;;"180.47";;"1193196834_bronenakladka-barrera-bz02-cr.jpg[:param:][alt=CLASS Броненакладка  DEF 5026 CR][title=CLASS Броненакладка  DEF 5026 CR]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка  DEF 5026 GP";;;"114.53";;"1039593610_bronenakladka-class-def.jpg[:param:][alt=CLASS Броненакладка  DEF 5026 GP][title=CLASS Броненакладка  DEF 5026 GP]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка  DEF 5026 NI";;;"180.47";;"1733890773_class-bronenakladka-def.jpg[:param:][alt=CLASS Броненакладка  DEF 5026 NI][title=CLASS Броненакладка  DEF 5026 NI]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Z 1021 CP (техноупаковка)";;;"83.29";;"1733890872_class-z-1021.jpg[:param:][alt=CLASS Z 1021 CP (техноупаковка)][title=CLASS Z 1021 CP (техноупаковка)]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка Z 1021 CP (пустотелая)";;;"62.47";;"1177796770_bronenakladka-class-z.jpg[:param:][alt=CLASS Броненакладка Z 1021 CP (пустотелая)][title=CLASS Броненакладка Z 1021 CP (пустотелая)]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка Z-1021 AB";;;"90.24";;"411978194_bronenakladka-class-z1021-ab.jpg[:param:][alt=CLASS Броненакладка Z-1021 AB][title=CLASS Броненакладка Z-1021 AB]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка Z-1021 CP";;;"97.18";;"237106940_class-bronenakladka-z-1021.jpg[:param:][alt=CLASS Броненакладка Z-1021 CP][title=CLASS Броненакладка Z-1021 CP]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка Z-1021 G";;;"90.24";;"237113571_class-bronenakladka-z-1021.jpg[:param:][alt=CLASS Броненакладка Z-1021 G][title=CLASS Броненакладка Z-1021 G]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка Z-1021 NP";;;"90.24";;"237115493_class-bronenakladka-z-1021.jpg[:param:][alt=CLASS Броненакладка Z-1021 NP][title=CLASS Броненакладка Z-1021 NP]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка А1021 GP";;;"72.88";;"1039664898_bronenakladka-class-a1021.jpg[:param:][alt=CLASS Броненакладка А1021 GP][title=CLASS Броненакладка А1021 GP]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка А1021 NР";;;"72.88";;"344484843_class-bronenakladka-a1021.jpg[:param:][alt=CLASS Броненакладка А1021 NР][title=CLASS Броненакладка А1021 NР]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка А1021 АВ";;;"90.24";;"237122058_class-bronenakladka-a1021.jpg[:param:][alt=CLASS Броненакладка А1021 АВ][title=CLASS Броненакладка А1021 АВ]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка А1021 СР";;;"72.88";;"237124115_class-bronenakladka-a1021.jpg[:param:][alt=CLASS Броненакладка А1021 СР][title=CLASS Броненакладка А1021 СР]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка QVADRO PROTECT SN";;;"86.77";;"1561575325_bronenakladka-kvadratnaya-qvadro.jpg[:param:][alt=CLASS Броненакладка QVADRO PROTECT SN][title=CLASS Броненакладка QVADRO PROTECT SN]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка QVADRO PROTECT Graffit";;;"97.18";;"1070791914_class-bronenakladka-qvadro.jpg[:param:][alt=CLASS Броненакладка QVADRO PROTECT Graffit][title=CLASS Броненакладка QVADRO PROTECT Graffit]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"CLASS Броненакладка QVADRO PROTECT AB";;;"86.77";;"1070791914_class-bronenakladka-qvadro.jpg[:param:][alt=CLASS Броненакладка QVADRO PROTECT AB][title=CLASS Броненакладка QVADRO PROTECT AB]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
"Дверная фурнитура/Кедр/KEDR Броненакладки";"door-furniture/kedr/KEDR-bronenakladki";"KEDR Чашка под броню CV01-16-69 AB";;;"44.42";;"238722745_kedr-chashka-pod.jpg[:param:][alt=KEDR Чашка под броню CV01-16-69 AB][title=KEDR Чашка под броню CV01-16-69 AB]";;"-1";"1";;;;;"0";"0";;"0";;;;"UAH";;"
"
